,region_Europe & Central Asia,region_Latin America & Caribbean,region_Middle East & North Africa,region_North America,region_South Asia,region_Sub-Saharan Africa,status_Developing,life_expectancy,year,adult_mortality,infant_mortality,1-4_mortality,alcohol,hep_b,bmi,polio,health_gov_expendt%,dtp3,hiv_aids,gdp,5_19thinness,5_19obesity,hdi,schooling,drinking_water,national_income_capita,health_expenditure%_gdp,obesity_adlts
0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.518839844539246,-1.6269784336399213,1.0564556977147788,2.1342489219589242,1.4327645627326255,-1.1358238724749905,-0.6319619250345581,-1.479102285540777,-2.4961141157208346,0.9324457859551577,-2.4547982579422887,-0.32405455691269935,-0.5107579220679246,3.244583790937052,-1.1509329720090742,-1.3571147407937467,-1.9090451096393,-2.8408365612839273,-1.2462993724919798,-0.29625995223347595,-1.4291855828018472
1,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.4662271334240096,-1.4100479758212652,0.979459561356175,2.058413453218322,1.351418065663566,-1.1358238724749905,-0.5926780391263016,-1.4337881141187108,-2.026371144176535,0.7679344453760002,-2.075272711864671,-0.32405455691269935,-0.5105434178226218,3.2018715952169314,-1.1285878112197056,-1.347729062893448,-1.791576926445895,-2.8395328228433203,-1.2076188616784294,-0.28461147271421455,-1.4180630355598818
2,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.3715242534165837,-1.193117518002609,0.8492217505986484,1.9735888664157948,1.2566733220184256,-1.1358238724749905,-0.553394153218045,-1.3884739426966464,-1.9836672376725077,0.7514833113180844,-1.9487641965054654,-0.32405455691269935,-0.5054054350247557,3.1591593994968115,-1.106242650430337,-1.3430362239432987,-1.7034757890508414,-2.7313934770303585,-0.8145540658148437,1.3725837342085483,-1.3958179410759508
3,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.3189115423013473,-0.9761870601839528,0.797767736268451,1.8801020385717766,1.1657566488235942,-1.1358238724749905,-0.5141102673097885,-1.3431597712745802,-1.7701477051523715,1.1874383638528525,-1.737916670906789,-0.32405455691269935,-0.50461061772021,3.116447203776692,-1.0838974896409683,-1.19286537753852,-1.6153746516557879,-2.6232124897293483,-0.811464198470154,1.1691463755440092,-1.3846953938339854
4,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.2873439156322057,-0.7592566023652966,0.7578832481043084,1.7861248951971083,1.0805820813042255,-1.1333246209002266,-0.43554249549327545,-1.297845599852514,-3.3074883392973518,1.1751000133094154,-3.2560188552172584,-0.32405455691269935,-0.5031197549182994,3.073735008056572,-1.0615523288516,-1.1553226659373255,-1.527273514260734,-2.5141652566584556,-0.811464198470154,1.5204954520928602,-1.3624502993500545
5,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.2557762889630644,-0.5423261445466404,0.7166840211903555,1.6892058586385366,0.9992355842351658,-1.1333246209002266,-0.474826381401532,-1.2525314284304496,-1.0441812945839086,1.138084961679105,-1.0210350838712896,-0.32405455691269935,-0.5172775129732406,3.0310228123364524,-1.0392071680622315,-1.0849300816850853,-1.2042360104788707,-2.4041993403882866,-0.8052844637807749,1.5771433550034129,-1.351327752108089
6,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.2557762889630644,-0.32539568672798425,0.7047831878526393,1.5886911748551955,0.9102329462654886,-1.1308253693254624,-0.553394153218045,-1.2072172570083834,-1.0441812945839086,0.6157614553402793,-1.0210350838712896,-0.32405455691269935,-0.49921801391776977,2.988310616616332,-1.0168620072728627,-1.0426945311337412,-1.1455019188821685,-2.2941270069819955,-0.8015766229671473,1.8504081065061269,-1.3290826576241583
7,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.2347312045169694,-0.10846522890932808,0.6765687544158739,1.492752769357925,0.8279294315838517,-1.1333246209002266,-0.5926780391263016,-1.161903085586319,-0.8306617620637725,0.32786660932675354,-0.8101875582726134,-0.32405455691269935,-0.49211368820693724,2.945598420896212,-0.9945168464834944,-0.9957661416322481,-1.0574007814871147,-2.1688005225466473,-0.7923070209330785,1.5594707650666488,-1.3068375631402271
8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.1715959511786858,0.10846522890932808,0.6093160210528763,1.3948531017380528,0.7532820578028322,-1.1308253693254624,-0.553394153218045,-1.1165889141642529,-0.7879578555597453,0.9859119716433843,-0.7680180531528781,-0.32405455691269935,-0.491856214145009,2.9028862251760925,-0.9498265249047572,-0.91129504052956,-0.9692996440920613,-2.0417744484880154,-0.7898351270573268,1.7020142615694367,-1.2845924686562964
9,0.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.1189832400634494,0.32539568672798425,0.5648369405556181,1.2977706266692646,0.673849595958927,-1.1358238724749905,-0.5926780391263016,-1.0712747427421867,-0.8306617620637725,1.434205374721589,-0.8101875582726134,-0.32405455691269935,-0.4865587790673881,2.8815301273160325,-0.9274813641153887,-0.9066022015794106,-0.9105655524953585,-1.9130441579740949,-0.7750037638028167,1.5245550429036439,-1.2623473741723654
